source,target,value
news,MSFT,238018
news,MSFT,238019
news,MSFT,238057
news,MSFT,238066
news,MSFT,238067
news,MSFT,238068
news,MSFT,238069
news,MSFT,238115
news,MSFT,238145
news,MSFT,238146
news,MSFT,238158
news,MSFT,238160
news,MSFT,238166
news,MSFT,238173
news,MSFT,238191
news,MSFT,238192
news,MSFT,238216
news,MSFT,238220
news,MSFT,238221
news,MSFT,238222
news,MSFT,238290
news,MSFT,238291
news,MSFT,238292
news,MSFT,238293
news,MSFT,238294
news,MSFT,238314
news,MSFT,238354
news,MSFT,238355
news,MSFT,238356
news,MSFT,238357
news,MSFT,238374
news,MSFT,238386
news,MSFT,238404
news,MSFT,238405
news,MSFT,238406
news,MSFT,238455
news,MSFT,238511
news,MSFT,238512
news,MSFT,238513
news,MSFT,238514
news,MSFT,238515
news,MSFT,238533
news,MSFT,238557
news,MSFT,238558
news,MSFT,238559
news,MSFT,238581
news,MSFT,238594
news,MSFT,238595
news,MSFT,238596
news,MSFT,238597
news,MSFT,238598
news,MSFT,238615
news,MSFT,238651
news,MSFT,238659
news,MSFT,238660
news,MSFT,238661
news,MSFT,238662
news,MSFT,238663
news,MSFT,238664
news,MSFT,238665
news,MSFT,238676
news,MSFT,238689
news,MSFT,238691
news,MSFT,238692
news,MSFT,238729
news,MSFT,238730
news,MSFT,238731
news,MSFT,238741
news,MSFT,238743
news,MSFT,238744
news,MSFT,238745
news,MSFT,238746
news,MSFT,238747
news,MSFT,238748
news,MSFT,238755
news,MSFT,238826
news,MSFT,238827
news,MSFT,238828
news,MSFT,238829
news,MSFT,238830
news,MSFT,238831
news,MSFT,238832
news,MSFT,238835
news,MSFT,238841
news,MSFT,238842
news,MSFT,238850
news,MSFT,238851
news,MSFT,238852
news,MSFT,238853
news,MSFT,238854
news,MSFT,238874
news,MSFT,238897
news,MSFT,238921
news,MSFT,238922
news,MSFT,238923
news,MSFT,238924
news,MSFT,238925
news,MSFT,238926
news,MSFT,238927
news,MSFT,238935
news,MSFT,238951
news,MSFT,238952
news,MSFT,238953
news,MSFT,238954
news,MSFT,238955
news,MSFT,238956
news,MSFT,238975
news,MSFT,238983
news,MSFT,238984
news,MSFT,238985
news,MSFT,238986
news,MSFT,238987
news,MSFT,239011
news,MSFT,239023
news,MSFT,239024
news,MSFT,239033
news,MSFT,239034
news,MSFT,239035
news,MSFT,239036
news,MSFT,239061
news,MSFT,239090
news,MSFT,239091
news,MSFT,239092
news,MSFT,239093
news,MSFT,239094
news,MSFT,239095
news,MSFT,239103
news,MSFT,239111
news,MSFT,239112
news,MSFT,239113
news,MSFT,239127
news,MSFT,239130
news,MSFT,239131
news,MSFT,239140
news,MSFT,239173
news,MSFT,239174
news,MSFT,239175
news,MSFT,239177
news,MSFT,239180
news,MSFT,239181
news,MSFT,239182
news,MSFT,239187
news,MSFT,239203
news,MSFT,239204
news,MSFT,239205
news,MSFT,239206
news,MSFT,239207
news,MSFT,239223
news,MSFT,239225
news,MSFT,239238
news,MSFT,239245
news,MSFT,239248
news,MSFT,239251
news,MSFT,239252
news,MSFT,239253
news,MSFT,239254
news,MSFT,239255
news,MSFT,239266
news,MSFT,239272
news,MSFT,239273
news,MSFT,239274
news,MSFT,239275
news,MSFT,239276
news,MSFT,239277
news,MSFT,239289
news,MSFT,239290
news,MSFT,239328
news,MSFT,239329
news,MSFT,239330
news,MSFT,239331
news,MSFT,239332
news,MSFT,239346
news,MSFT,239351
news,MSFT,239352
news,MSFT,239353
news,MSFT,239354
news,MSFT,239355
news,MSFT,239356
news,MSFT,239374
news,MSFT,239399
news,MSFT,239402
news,MSFT,239421
news,MSFT,239422
news,MSFT,239423
news,MSFT,239424
news,MSFT,239430
news,MSFT,239432
news,MSFT,239433
news,MSFT,239434
news,MSFT,239435
news,MSFT,239436
news,MSFT,239437
news,MSFT,239443
news,MSFT,239444
news,MSFT,239486
news,MSFT,239493
news,MSFT,239494
news,MSFT,239495
news,MSFT,239496
news,MSFT,239497
news,MSFT,239498
news,MSFT,239501
news,MSFT,239503
news,MSFT,239515
